Districts,weight,humidity,temperature,quality,month
Ariyalur,1030.8,29.6,72,1,January
Chengalpattu,1045,28.9,68.5,1,February
Chennai,972.7,37.9,65.1,0,March
Coimbatore,1010.2,25.1,67.8,0,April
Cuddalore,970,27.1,72.9,1,May
Dharmapuri,990.2,32.4,71.4,1,June
Dindigul,965.7,42.6,65.9,0,July
Erode,1005.5,26.3,68.2,0,August
Karur,995.3,33.7,69.9,1,November
Krishnagiri,980.2,31.5,70.3,1,December
Madurai,950.6,45.2,66,0,January
Nagapattinam,975.9,84.6,30.1,1,February
Namakkal,1000.3,29.8,71.2,1,March
Perambalur,1012.5,28.6,72.7,1,May
Pudukkottai,965.4,38.5,69.1,1,June
Ramanathapuram,980,60.1,34.2,1,July
Ranipet,992.6,30.2,71,1,August
Salem,985.1,31.6,70.5,1,September
Sivaganga,960.8,40.2,68.1,1,October
Tenkasi,955.9,37.3,67.4,1,November
Thanjavur,970.4,39.7,68.7,1,December
Theni,950.3,41.5,66.9,0,January
Tirunelveli,965,64.5,34.5,1,April
Tirupathur,975.8,32,70.3,1,May
Tiruppur,1015.7,30.5,69.5,0,June
Tiruvallur,990.5,34,71.8,1,July
Tiruvannamalai,970.6,33.3,70.6,1,August
Tiruvarur,980,81.2,31.1,1,September
Vellore,1001.4,29.5,70.1,1,October
Viluppuram,975.5,30.4,72.2,1,November
Virudhunagar,960.2,41,67,0,December
Ariyalur,1031.102038,29.12549741,71.84801731,1,January
Chengalpattu,993.1592588,28.73412954,70.89537148,1,February
Chennai,966.1696643,28.82969768,69.06759547,1,March
Coimbatore,966.6476839,34.87678728,73.00640782,1,April
Cuddalore,1022.2979,42.39372985,74.10591749,1,May
Dharmapuri,991.2164974,43.27548127,68.14929046,1,June
Dindigul,971.8694069,38.23055091,69.0005807,0,July
Erode,962.5697655,25.5397957,73.27978378,1,August
Kallakurichi,960.1690422,35.27678638,65.85386556,1,September
Kanniyakumari,1032.534524,30.05443927,74.97405461,1,October
Kancheepuram,1028.984487,41.31969906,74.79997981,1,November
Mayiladuthurai,1047.722306,29.27797029,72.20576822,1,December
Karur,1046.761733,30.70601919,69.59560889,0,January
Krishnagiri,1002.032144,25.76874963,68.41613633,1,February
Madurai,994.0796451,42.29944527,67.67909776,1,March
Nagapattinam,979.2689933,32.4818798,74.71881614,1,April
Namakkal,995.8513718,39.92532434,70.58499368,1,May
Nilgiris (Udhagamandalam/Ooty),1024.648486,37.56774559,68.20340464,1,June
Perambalur,954.8014804,27.97560324,69.29676367,1,July
Pudukkottai,981.3427073,37.9671868,65.27423703,1,August
Ramanathapuram,1047.431351,33.12306758,70.48626201,0,September
Ranipet,1049.643411,27.13504162,73.61946078,1,October
Salem,1049.832567,27.2884106,71.42982781,1,November
Sivaganga,956.3057003,35.84676,68.71617926,1,December
Tenkasi,957.1648038,31.36973975,74.13073593,0,January
Thanjavur,1003.941976,42.28518184,70.53480239,1,February
Theni,1021.635533,40.07808678,66.82560724,1,March
Thoothukudi (Tuticorin),974.1204834,30.53299493,69.85560473,0,April
Tiruchirappalli (Trichy),1028.139107,27.67384193,70.04629325,1,May
Tirunelveli,983.9217665,39.95998001,65.34079417,0,June
Tiruppur,989.4500979,37.97214836,73.96683293,1,July
Tiruvallur,1037.916248,40.62316165,71.02550473,1,August
Tiruvannamalai,1000.443894,44.2470689,67.36436265,1,September
Tiruvarur,1047.796234,26.4577858,70.22657572,1,October
Vellore,972.2371487,37.68222821,71.73288849,1,November
Viluppuram,977.4015694,33.71106287,71.93902547,0,December
Virudhunagar,1037.715073,31.93641684,72.84973641,1,January
Ariyalur,1006.765054,35.47067945,65.58065637,1,February
Chengalpattu,1006.067168,40.96724817,73.40692656,0,March
